"","test.point","Polarity","Senti-Diff","slda"
"test.point",1,0.0273848958414962,0.0771300948284168,0.512946135968015
"Polarity",0.0273848958414962,1,0.75587769399728,0.0881160330830327
"Senti-Diff",0.0771300948284168,0.75587769399728,1,0.0382386233011319
"slda",0.512946135968015,0.0881160330830327,0.0382386233011319,1
